security,correlation,beta,r2,benchmark
MSCI_W,0.4716,0.44732,0.2224,MXX
IWD,0.44942,0.44402,0.20198,MXX
BBAJIOO,0.44639,0.9245,0.19927,MXX
PINFRA,0.4446,0.75605,0.19767,MXX
DJI,0.43494,0.42128,0.18917,MXX
BIMBOA,0.43213,0.8759,0.18674,MXX
SPX,0.43064,0.4802,0.18545,MXX
PEOLES,0.41926,1.26112,0.17578,MXX
QUAL,0.41648,0.47643,0.17345,MXX
KIMBERA,0.38125,0.63849,0.14535,MXX
IVW,0.37949,0.52841,0.14401,MXX
NASDAQ,0.37649,0.56688,0.14174,MXX
KOFUBL,0.37559,0.56188,0.14107,MXX
SOXL,0.36542,2.54243,0.13353,MXX
SOX,0.36135,0.85741,0.13057,MXX
LIVEPOLC1,0.35913,0.54402,0.12897,MXX
BAC,0.34224,0.61015,0.11713,MXX
BRKb,0.32857,0.3712,0.10796,MXX
CHDRAUIB,0.31877,0.53094,0.10162,MXX
USB,0.31474,0.61698,0.09906,MXX
QCOM,0.30648,0.76788,0.09393,MXX
NEMAKA,0.28775,0.69785,0.0828,MXX
MSCI_EM,0.28362,0.29262,0.08044,MXX
NVDA,0.2712,0.93244,0.07355,MXX
XLV,0.26766,0.25507,0.07164,MXX
ALPEKA,0.26626,0.6211,0.0709,MXX
BBVA,0.26248,0.53966,0.0689,MXX
GAP,0.25602,0.9323,0.06554,MXX
MARA,0.23344,1.74792,0.05449,MXX
NFLX,0.21825,0.62431,0.04763,MXX
IAU,0.1669,0.16908,0.02786,MXX
URTH,0.14031,0.59222,0.01969,MXX
BRENT,0.14008,0.30847,0.01962,MXX
IYY,0.12732,0.57699,0.01621,MXX
BACHOCOB,0.10864,0.20897,0.0118,MXX
AUTLANB,0.10784,0.19855,0.01163,MXX
TerraClassicUSD,0.09522,0.68653,0.00907,MXX
XAU_USD,0.07166,0.35223,0.00514,MXX
MU,0.0692,0.97909,0.00479,MXX
GPAGF,0.05501,0.44025,0.00303,MXX
inflationmex,0.05122,0.01614,0.00262,MXX
USD_XAU,0.02901,717.19889,0.00084,MXX
USDEUR,-0.2165,-0.10767,0.04687,MXX
inflationusa,-0.22105,-0.09409,0.04886,MXX
DXY,-0.24536,-0.11296,0.0602,MXX
USDMXN,-0.32292,-0.23606,0.10427,MXX
UVIX,-0.32332,-2.89959,0.10454,MXX
VIX,-0.33061,-2.80872,0.1093,MXX
USDMXNm,-0.40816,-1.12577,0.1666,MXX
DJI,1.0,1.0,1.0,DJI
IWD,0.94774,0.96814,0.8982,DJI
SPX,0.91919,1.05917,0.84491,DJI
QUAL,0.89943,1.06407,0.80897,DJI
MSCI_W,0.89302,0.8809,0.79748,DJI
IVW,0.81311,1.17065,0.66115,DJI
NASDAQ,0.77927,1.21289,0.60726,DJI
XLV,0.73916,0.72644,0.54636,DJI
BRKb,0.73279,0.85797,0.53698,DJI
BAC,0.69294,1.27508,0.48016,DJI
SOXL,0.66065,4.75775,0.43646,DJI
SOX,0.65674,1.6128,0.43131,DJI
USB,0.65084,1.33149,0.42359,DJI
QCOM,0.57715,1.49724,0.3331,DJI
NVDA,0.49465,1.7548,0.24468,DJI
GAP,0.47833,1.80566,0.2288,DJI
MXX,0.43494,0.44904,0.18917,DJI
CEMEXCPO,0.42093,1.03299,0.17718,DJI
MARA,0.4062,3.17298,0.165,DJI
NFLX,0.39039,1.14966,0.15241,DJI
BBVA,0.31236,0.66374,0.09757,DJI
GFNORTEO,0.27888,0.61188,0.07777,DJI
ASURB,0.25633,0.51889,0.06571,DJI
OMAB,0.24928,0.5558,0.06214,DJI
GFINBURO,0.24806,0.51671,0.06153,DJI
GMEXICOB,0.24379,0.61146,0.05943,DJI
BBAJIOO,0.24271,0.51844,0.05891,DJI
GCARSOA1,0.22515,0.53546,0.05069,DJI
PINFRA,0.21869,0.38321,0.04782,DJI
TerraClassicUSD,0.2109,1.59395,0.04448,DJI
NEMAKA,0.20491,0.5144,0.04199,DJI
MSCI_EM,0.20319,0.21727,0.04129,DJI
inflationmex,0.19793,0.08352,0.03918,DJI
BIMBOA,0.16937,0.35331,0.02869,DJI
LIVEPOLC1,0.16906,0.26373,0.02858,DJI
KOFUBL,0.16695,0.2539,0.02787,DJI
KIMBERA,0.15601,0.26981,0.02434,DJI
ALPEKA,0.15359,0.36935,0.02359,DJI
CHDRAUIB,0.14833,0.25296,0.022,DJI
BRENT,0.14825,0.33967,0.02198,DJI
IYY,0.14054,0.65349,0.01975,DJI
PEOLES,0.13982,0.43544,0.01955,DJI
URTH,0.13743,0.59522,0.01889,DJI
BACHOCOB,0.11353,0.2161,0.01289,DJI
IAU,0.10649,0.1116,0.01134,DJI
AUTLANB,0.08255,0.1563,0.00681,DJI
inflationusa,0.04793,0.02601,0.0023,DJI
GPAGF,0.04513,0.31811,0.00204,DJI
USD_XAU,0.02891,743.37284,0.00084,DJI
XAU_USD,0.02133,0.10616,0.00045,DJI
MU,0.01889,0.27142,0.00036,DJI
USDMXNm,-0.03072,-0.09868,0.00094,DJI
USDEUR,-0.22356,-0.11528,0.04998,DJI
DXY,-0.23223,-0.11122,0.05393,DJI
USDMXN,-0.38743,-0.29433,0.15011,DJI
UVIX,-0.6969,-6.33171,0.48566,DJI
VIX,-0.70413,-6.17716,0.4958,DJI
BRENT,1.0,1.0,1.0,BRENT
IWD,0.20157,0.08986,0.04063,BRENT
GMEXICOB,0.1807,0.20108,0.03265,BRENT
BAC,0.16408,0.13177,0.02692,BRENT
MSCI_W,0.16115,0.06912,0.02597,BRENT
IAU,0.15968,0.07303,0.0255,BRENT
USB,0.15178,0.13552,0.02304,BRENT
DJI,0.14825,0.0647,0.02198,BRENT
SPX,0.14607,0.07346,0.02134,BRENT
MXX,0.14008,0.06361,0.01962,BRENT
MSCI_EM,0.13206,0.06184,0.01744,BRENT
BRKb,0.13133,0.06711,0.01725,BRENT
QUAL,0.12293,0.06346,0.01511,BRENT
PEOLES,0.12035,0.16446,0.01448,BRENT
GAP,0.11249,0.18534,0.01265,BRENT
BBAJIOO,0.11144,0.1049,0.01242,BRENT
SOXL,0.11106,0.34903,0.01233,BRENT
