Fecha,Close,Apertura,Máximo,Mínimo,Vol.,% var.
25.07.2023,"96,230","96,210","96,230","96,210","16,73K","0,01%"
24.07.2023,"96,220","96,205","96,220","96,200","13,03K","0,02%"
21.07.2023,"96,205","96,205","96,210","96,200","11,49K","0,00%"
20.07.2023,"96,205","96,215","96,215","96,205","12,82K","-0,02%"
19.07.2023,"96,220","96,205","96,230","96,205","23,14K","0,01%"
18.07.2023,"96,215","96,195","96,220","96,190","17,69K","-0,10%"
17.07.2023,"96,315","96,315","96,325","96,315","10,40K","-0,01%"
14.07.2023,"96,320","96,315","96,325","96,310","18,67K","0,00%"
13.07.2023,"96,320","96,315","96,325","96,310","16,87K","0,01%"
12.07.2023,"96,315","96,315","96,320","96,310","27,52K","0,00%"
11.07.2023,"96,315","96,315","96,315","96,310","17,72K","0,00%"
10.07.2023,"96,315","96,325","96,325","96,310","11,73K","-0,01%"
07.07.2023,"96,325","96,325","96,335","96,320","18,33K","0,01%"
06.07.2023,"96,320","96,330","96,330","96,315","15,43K","-0,02%"
05.07.2023,"96,335","96,330","96,345","96,330","11,68K","0,01%"
04.07.2023,"96,330","96,325","96,330","96,320","9,86K","0,01%"
03.07.2023,"96,320","96,320","96,325","96,315","10,10K","0,00%"
30.06.2023,"96,320","96,320","96,330","96,320","13,73K","0,00%"
29.06.2023,"96,320","96,325","96,335","96,315","27,49K","-0,01%"
28.06.2023,"96,325","96,300","96,335","96,300","62,68K","0,02%"
27.06.2023,"96,305","96,300","96,315","96,300","23,24K","0,01%"
26.06.2023,"96,300","96,275","96,305","96,275","18,54K","0,02%"
23.06.2023,"96,280","96,270","96,310","96,270","13,27K","0,02%"
22.06.2023,"96,265","96,275","96,275","96,260","18,77K","-0,01%"
21.06.2023,"96,275","96,275","96,280","96,265","22,38K","-0,01%"
20.06.2023,"96,280","96,275","96,285","96,270","29,41K","-0,18%"
19.06.2023,"96,449","96,415","96,415","96,410","20,58K","0,04%"
16.06.2023,"96,410","96,415","96,425","96,405","112,06K","-0,01%"
15.06.2023,"96,415","96,435","96,440","96,410","147,21K","-0,03%"
14.06.2023,"96,440","96,435","96,445","96,430","118,29K","0,00%"
13.06.2023,"96,440","96,440","96,450","96,430","164,37K","-0,01%"
12.06.2023,"96,445","96,435","96,450","96,430","97,82K","0,01%"
09.06.2023,"96,435","96,430","96,445","96,425","123,12K","0,00%"
08.06.2023,"96,435","96,435","96,440","96,430","67,86K","0,01%"
07.06.2023,"96,430","96,430","96,440","96,425","109,37K","0,01%"
06.06.2023,"96,425","96,420","96,440","96,415","91,79K","0,01%"
05.06.2023,"96,420","96,425","96,430","96,415","78,03K","-0,01%"
02.06.2023,"96,425","96,440","96,440","96,420","104,05K","-0,02%"
01.06.2023,"96,440","96,430","96,450","96,415","118,26K","0,01%"
31.05.2023,"96,430","96,425","96,445","96,425","142,54K","0,01%"
30.05.2023,"96,420","96,405","96,425","96,405","127,92K","0,02%"
29.05.2023,"96,405","96,400","96,410","96,395","36,82K","0,01%"
26.05.2023,"96,395","96,405","96,410","96,395","89,46K","-0,01%"
25.05.2023,"96,405","96,405","96,420","96,400","118,72K","-0,01%"
24.05.2023,"96,415","96,410","96,415","96,395","124,14K","0,01%"
23.05.2023,"96,410","96,410","96,415","96,405","85,94K","0,00%"
22.05.2023,"96,410","96,415","96,425","96,410","85,65K","-0,01%"
19.05.2023,"96,420","96,420","96,430","96,405","148,34K","0,00%"
18.05.2023,"96,420","96,420","96,430","96,415","119,60K","-0,01%"
17.05.2023,"96,430","96,430","96,440","96,420","81,23K","-0,01%"
16.05.2023,"96,435","96,450","96,460","96,430","132,61K","-0,21%"
15.05.2023,"96,642","96,660","96,665","96,655","4,48K","-0,02%"
12.05.2023,"96,660","96,675","96,675","96,655","17,70K","-0,02%"
11.05.2023,"96,675","96,680","96,685","96,670","14,58K","-0,01%"
10.05.2023,"96,680","96,670","96,680","96,665","15,42K","0,01%"
09.05.2023,"96,675","96,665","96,675","96,650","23,53K","0,01%"
08.05.2023,"96,670","96,685","96,685","96,660","10,16K","-0,02%"
05.05.2023,"96,690","96,700","96,700","96,675","16,94K","-0,01%"
04.05.2023,"96,695","96,640","96,710","96,625","38,74K","0,06%"
03.05.2023,"96,635","96,635","96,650","96,620","12,82K","-0,02%"
02.05.2023,"96,650","96,645","96,660","96,615","16,23K","0,00%"
28.04.2023,"96,650","96,605","96,660","96,600","16,04K","0,03%"
27.04.2023,"96,620","96,615","96,630","96,605","13,26K","-0,01%"
26.04.2023,"96,625","96,600","96,640","96,590","24,37K","0,04%"
25.04.2023,"96,590","96,560","96,615","96,560","24,16K","0,02%"
24.04.2023,"96,575","96,590","96,600","96,550","13,60K","-0,01%"
21.04.2023,"96,585","96,600","96,605","96,580","16,83K","-0,02%"
20.04.2023,"96,605","96,590","96,605","96,580","12,68K","0,02%"
19.04.2023,"96,590","96,590","96,595","96,565","19,14K","-0,03%"
18.04.2023,"96,615","96,595","96,620","96,585","26,53K","-0,17%"
17.04.2023,"96,781","96,800","96,810","96,800","5,62K","-0,02%"
14.04.2023,"96,805","96,830","96,830","96,800","17,84K","-0,03%"
13.04.2023,"96,830","96,825","96,845","96,810","22,55K","0,00%"
12.04.2023,"96,830","96,860","96,870","96,825","13,18K","-0,03%"
11.04.2023,"96,855","96,905","96,910","96,855","16,91K","-0,05%"
06.04.2023,"96,905","96,920","96,930","96,905","16,83K","-0,03%"
05.04.2023,"96,930","96,910","96,955","96,890","20,89K","0,03%"
04.04.2023,"96,905","96,900","96,920","96,880","20,12K","-0,01%"
03.04.2023,"96,910","96,910","96,920","96,890","10,68K","0,01%"
31.03.2023,"96,900","96,885","96,930","96,865","28,76K","0,00%"
30.03.2023,"96,900","96,930","96,970","96,885","63,05K","-0,03%"
29.03.2023,"96,930","96,890","96,945","96,880","39,39K","0,05%"
28.03.2023,"96,885","96,860","96,900","96,850","25,87K","0,03%"
27.03.2023,"96,860","96,860","96,875","96,850","19,44K","-0,03%"
24.03.2023,"96,885","96,900","96,935","96,855","16,26K","0,04%"
23.03.2023,"96,845","96,845","96,920","96,810","12,56K","0,04%"
22.03.2023,"96,810","96,880","96,880","96,805","34,63K","-0,08%"
21.03.2023,"96,890","96,955","96,955","96,865","23,33K","-0,06%"
20.03.2023,"96,950","96,970","97,070","96,935","23,34K","-0,05%"
17.03.2023,"96,995","96,925","97,005","96,895","21,47K","0,06%"
16.03.2023,"96,940","96,920","97,095","96,880","48,00K","-0,14%"
15.03.2023,"97,075","96,840","97,100","96,790","43,37K","0,22%"
14.03.2023,"96,860","96,955","96,970","96,795","52,54K","-0,19%"
13.03.2023,"97,043","97,040","97,090","97,035","46,60K","0,01%"
10.03.2023,"97,030","97,035","97,055","97,015","198,48K","0,00%"
09.03.2023,"97,030","97,010","97,035","97,005","143,94K","0,02%"
08.03.2023,"97,010","97,000","97,015","96,990","171,17K","0,01%"
07.03.2023,"97,005","97,045","97,055","97,000","197,53K","-0,05%"
06.03.2023,"97,050","97,060","97,070","97,045","173,01K","-0,01%"
03.03.2023,"97,060","97,080","97,090","97,055","161,94K","-0,03%"
02.03.2023,"97,085","97,080","97,095","97,075","138,99K","0,00%"
01.03.2023,"97,085","97,090","97,100","97,075","126,93K","-0,01%"
28.02.2023,"97,095","97,100","97,105","97,085","132,79K","-0,01%"
27.02.2023,"97,100","97,085","97,100","97,075","85,53K","0,02%"
24.02.2023,"97,085","97,085","97,095","97,065","150,68K","0,01%"
23.02.2023,"97,080","97,065","97,095","97,055","130,03K","0,02%"
22.02.2023,"97,065","97,040","97,070","97,035","122,78K","0,02%"
21.02.2023,"97,045","97,045","97,050","97,035","112,17K","0,01%"
20.02.2023,"97,040","97,035","97,045","97,025","54,68K","0,01%"
17.02.2023,"97,035","97,030","97,045","97,020","118,00K","0,01%"
16.02.2023,"97,030","97,030","97,040","97,020","82,54K","0,00%"
15.02.2023,"97,030","97,030","97,040","97,025","97,66K","0,00%"
14.02.2023,"97,030","97,040","97,050","97,030","119,84K","-0,32%"
13.02.2023,"97,346","97,350","97,360","97,350","6,68K","0,00%"
10.02.2023,"97,350","97,345","97,360","97,335","20,74K","0,01%"
09.02.2023,"97,345","97,330","97,350","97,330","19,24K","0,02%"
08.02.2023,"97,330","97,335","97,335","97,325","13,91K","0,00%"
07.02.2023,"97,330","97,340","97,340","97,330","11,99K","-0,01%"
06.02.2023,"97,335","97,330","97,335","97,320","6,18K","0,00%"
03.02.2023,"97,335","97,345","97,355","97,330","17,41K","-0,01%"
02.02.2023,"97,345","97,330","97,370","97,315","27,95K","0,02%"
01.02.2023,"97,330","97,330","97,350","97,320","25,29K","0,01%"
31.01.2023,"97,325","97,325","97,330","97,315","25,33K","0,01%"
30.01.2023,"97,320","97,325","97,330","97,315","16,29K","-0,01%"
27.01.2023,"97,325","97,315","97,325","97,315","11,25K","0,01%"
26.01.2023,"97,320","97,310","97,325","97,310","24,28K","0,01%"
25.01.2023,"97,310","97,295","97,310","97,295","30,92K","0,01%"
24.01.2023,"97,300","97,310","97,315","97,295","21,88K","-0,01%"
23.01.2023,"97,310","97,310","97,315","97,300","10,93K","0,00%"
20.01.2023,"97,310","97,320","97,325","97,310","7,48K","-0,01%"
19.01.2023,"97,320","97,345","97,350","97,315","19,13K","-0,03%"
18.01.2023,"97,350","97,340","97,360","97,320","17,60K","0,00%"
17.01.2023,"97,350","97,300","97,400","97,300","19,62K","-0,32%"
16.01.2023,"97,666","97,645","97,650","97,645","1,63K","0,02%"
13.01.2023,"97,645","97,660","97,675","97,645","19,73K","-0,02%"
12.01.2023,"97,660","97,645","97,675","97,640","24,45K","0,03%"
11.01.2023,"97,635","97,625","97,660","97,625","23,31K","0,02%"
10.01.2023,"97,620","97,615","97,625","97,615","19,06K","0,00%"
09.01.2023,"97,620","97,610","97,620","97,600","11,78K","0,00%"
06.01.2023,"97,620","97,630","97,630","97,600","31,28K","-0,02%"
05.01.2023,"97,635","97,615","97,640","97,600","29,32K","0,02%"
04.01.2023,"97,615","97,610","97,630","97,605","21,38K","0,01%"
03.01.2023,"97,610","97,610","97,620","97,595","20,30K","0,00%"
02.01.2023,"97,610","97,595","97,615","97,595","6,62K","0,01%"
30.12.2022,"97,600","97,615","97,615","97,585","48,82K","-0,01%"
29.12.2022,"97,605","97,590","97,625","97,590","16,92K","0,02%"
28.12.2022,"97,585","97,565","97,590","97,565","41,29K","0,03%"
27.12.2022,"97,555","97,535","97,570","97,535","4,93K","0,02%"
23.12.2022,"97,535","97,530","97,550","97,520","14,07K","0,01%"
22.12.2022,"97,530","97,530","97,540","97,525","10,16K","0,01%"
21.12.2022,"97,525","97,530","97,535","97,520","13,35K","0,00%"
20.12.2022,"97,525","97,525","97,535","97,515","29,79K","-0,42%"
19.12.2022,"97,937","97,930","97,935","97,925","29,16K","0,01%"
16.12.2022,"97,925","97,895","97,930","97,885","154,22K","0,03%"
15.12.2022,"97,900","97,855","97,920","97,855","356,88K","0,05%"
14.12.2022,"97,855","97,870","97,885","97,850","128,05K","-0,02%"
13.12.2022,"97,870","97,850","97,875","97,845","146,06K","0,03%"
12.12.2022,"97,845","97,850","97,860","97,845","130,97K","-0,01%"
09.12.2022,"97,855","97,845","97,860","97,840","106,05K","0,00%"
08.12.2022,"97,855","97,850","97,860","97,845","114,33K","0,00%"
07.12.2022,"97,855","97,860","97,870","97,850","186,12K","-0,01%"
06.12.2022,"97,860","97,870","97,870","97,855","148,95K","-0,01%"
05.12.2022,"97,865","97,845","97,870","97,845","153,11K","0,02%"
02.12.2022,"97,845","97,855","97,875","97,840","175,83K","-0,01%"
01.12.2022,"97,850","97,835","97,860","97,830","162,24K","0,03%"
30.11.2022,"97,825","97,830","97,835","97,815","150,85K","-0,01%"
29.11.2022,"97,835","97,770","97,860","97,770","272,88K","0,06%"
28.11.2022,"97,775","97,770","97,785","97,760","120,15K","0,01%"
25.11.2022,"97,770","97,805","97,805","97,760","105,78K","-0,04%"
24.11.2022,"97,805","97,800","97,830","97,800","110,75K","0,01%"
23.11.2022,"97,800","97,815","97,815","97,790","126,19K","-0,02%"
22.11.2022,"97,820","97,830","97,835","97,815","123,22K","-0,01%"
21.11.2022,"97,830","97,815","97,835","97,805","96,27K","0,01%"
18.11.2022,"97,825","97,800","97,830","97,785","138,19K","0,03%"
17.11.2022,"97,795","97,810","97,830","97,790","114,95K","0,02%"
16.11.2022,"97,780","97,765","97,815","97,735","152,66K","0,02%"
15.11.2022,"97,760","97,735","97,775","97,735","112,67K","-0,46%"
14.11.2022,"98,209","98,205","98,205","98,200","5,29K","0,00%"
11.11.2022,"98,205","98,170","98,210","98,165","20,24K","0,03%"
10.11.2022,"98,175","98,145","98,180","98,140","21,59K","0,03%"
09.11.2022,"98,145","98,135","98,150","98,135","14,08K","0,01%"
08.11.2022,"98,135","98,160","98,160","98,135","20,10K","-0,02%"
07.11.2022,"98,150","98,150","98,160","98,140","14,75K","0,01%"
04.11.2022,"98,145","98,145","98,160","98,145","10,28K","0,01%"
03.11.2022,"98,140","98,125","98,155","98,120","15,47K","0,00%"
02.11.2022,"98,140","98,140","98,150","98,125","18,77K","-0,01%"
01.11.2022,"98,145","98,155","98,160","98,140","22,01K","0,00%"
31.10.2022,"98,145","98,175","98,175","98,140","11,31K","-0,04%"
28.10.2022,"98,180","98,230","98,230","98,170","10,02K","-0,04%"
27.10.2022,"98,215","98,185","98,230","98,165","27,68K","0,04%"
26.10.2022,"98,180","98,170","98,200","98,170","21,44K","0,01%"
25.10.2022,"98,170","98,165","98,180","98,155","9,10K","0,01%"
24.10.2022,"98,160","98,150","98,180","98,150","9,60K","0,02%"
21.10.2022,"98,145","98,135","98,165","98,120","16,06K","0,01%"
20.10.2022,"98,135","98,135","98,140","98,125","11,58K","-0,01%"
19.10.2022,"98,145","98,150","98,155","98,135","17,70K","-0,01%"
18.10.2022,"98,150","98,140","98,155","98,135","16,36K","-0,40%"
17.10.2022,"98,542","98,570","98,580","98,570","2,45K","-0,03%"
