Fecha,BONOMX10,BONOUSA10,Close
19/09/19 0:00,7,1.787,5.213
20/09/19 0:00,6.98,1.722,5.258
23/09/19 0:00,6.89,1.723,5.167
24/09/19 0:00,6.9,1.652,5.248
25/09/19 0:00,6.892,1.737,5.155
26/09/19 0:00,6.82,1.697,5.123
27/09/19 0:00,6.88,1.687,5.193
30/09/19 0:00,6.86,1.668,5.192
01/10/19 0:00,6.9,1.635,5.265
02/10/19 0:00,6.83,1.601,5.229
03/10/19 0:00,6.72,1.534,5.186
04/10/19 0:00,6.73,1.529,5.201
07/10/19 0:00,6.77,1.565,5.205
08/10/19 0:00,6.75,1.532,5.218
09/10/19 0:00,6.71,1.587,5.123
10/10/19 0:00,6.74,1.67,5.07
11/10/19 0:00,6.74,1.734,5.006
14/10/19 0:00,6.744,1.715,5.029
15/10/19 0:00,6.77,1.771,4.999
16/10/19 0:00,6.81,1.745,5.065
17/10/19 0:00,6.84,1.75,5.09
18/10/19 0:00,6.8,1.754,5.046
21/10/19 0:00,6.83,1.803,5.027
22/10/19 0:00,6.86,1.768,5.092
23/10/19 0:00,6.85,1.768,5.082
24/10/19 0:00,6.8,1.771,5.029
25/10/19 0:00,6.83,1.799,5.031
28/10/19 0:00,6.87,1.845,5.025
29/10/19 0:00,6.84,1.837,5.003
30/10/19 0:00,6.77,1.775,4.995
31/10/19 0:00,6.74,1.688,5.052
01/11/19 0:00,6.77,1.714,5.056
04/11/19 0:00,6.77,1.781,4.989
05/11/19 0:00,6.82,1.857,4.963
06/11/19 0:00,6.76,1.83,4.93
07/11/19 0:00,6.81,1.929,4.881
08/11/19 0:00,6.84,1.945,4.895
11/11/19 0:00,6.86,1.923,4.937
12/11/19 0:00,6.92,1.928,4.992
13/11/19 0:00,6.96,1.891,5.069
14/11/19 0:00,6.94,1.822,5.118
15/11/19 0:00,6.89,1.836,5.054
18/11/19 0:00,7.101,1.815,5.286
19/11/19 0:00,6.98,1.786,5.194
20/11/19 0:00,7.03,1.747,5.283
21/11/19 0:00,7.01,1.776,5.234
22/11/19 0:00,7.02,1.771,5.249
25/11/19 0:00,7.074,1.752,5.322
26/11/19 0:00,7.11,1.741,5.369
27/11/19 0:00,7.014,1.767,5.247
28/11/19 0:00,7.07,1.778,5.292
29/11/19 0:00,7.07,1.774,5.296
02/12/19 0:00,7.13,1.822,5.308
03/12/19 0:00,7.13,1.717,5.413
04/12/19 0:00,6.98,1.778,5.202
05/12/19 0:00,7.02,1.809,5.211
06/12/19 0:00,6.96,1.843,5.117
09/12/19 0:00,6.8,1.821,4.979
10/12/19 0:00,6.878,1.842,5.036
