Fecha,Close,Apertura,Máximo,Mínimo,Vol.,% var.
02.02.2021,"153,59","153,95","154,08","153,44","285,19K","-0,28%"
01.02.2021,"154,03","154,13","154,27","153,86","235,32K","0,13%"
29.01.2021,"153,83","154,45","154,55","153,64","402,75K","-0,32%"
28.01.2021,"154,33","154,86","155,14","154,11","356,35K","-0,39%"
27.01.2021,"154,94","154,63","155,14","154,44","322,84K","0,24%"
26.01.2021,"154,56","154,66","154,75","154,38","248,84K","-0,01%"
25.01.2021,"154,58","153,88","154,75","153,69","259,45K","0,46%"
22.01.2021,"153,88","153,56","153,98","153,45","222,71K","0,18%"
21.01.2021,"153,59","153,94","154,05","153,38","289,66K","-0,16%"
20.01.2021,"153,84","153,84","154,05","153,59","245,58K","0,02%"
19.01.2021,"153,81","153,89","153,97","153,38","271,58K","0,05%"
15.01.2021,"153,73","153,19","153,94","153,17","231,91K","0,32%"
14.01.2021,"153,25","153,88","154,02","153,13","322,07K","-0,38%"
13.01.2021,"153,83","153,20","154,08","153,17","330,48K","0,45%"
12.01.2021,"153,14","152,98","153,25","152,42","396,17K","-0,03%"
11.01.2021,"153,19","153,39","153,70","152,97","223,43K","-0,25%"
08.01.2021,"153,58","153,92","154,05","153,30","351,84K","-0,32%"
07.01.2021,"154,08","154,55","154,67","153,83","283,84K","-0,27%"
06.01.2021,"154,50","155,72","155,91","154,31","487,69K","-0,80%"
05.01.2021,"155,75","156,36","156,38","155,63","252,08K","-0,37%"
04.01.2021,"156,33","156,16","156,48","155,77","226,70K","-0,02%"
31.12.2020,"156,36","156,16","156,41","155,98","149,33K","0,14%"
30.12.2020,"156,14","155,94","156,17","155,69","136,58K","0,09%"
29.12.2020,"156,00","156,16","156,16","155,75","125,96K","-0,02%"
28.12.2020,"156,03","156,09","156,17","155,58","110,48K","0,01%"
24.12.2020,"156,02","155,77","156,13","155,69","50,98K","0,21%"
23.12.2020,"155,69","156,20","156,42","155,41","196,81K","-0,33%"
22.12.2020,"156,20","155,95","156,25","155,88","145,64K","-0,22%"
21.12.2020,"156,55","156,84","157,36","156,75","0,36K","0,05%"
18.12.2020,"156,47","156,48","156,52","156,48","0,09K","-0,14%"
17.12.2020,"156,69","156,69","156,69","156,69","0,25K","-0,07%"
16.12.2020,"156,80","156,75","156,75","156,47","0,07K","0,03%"
15.12.2020,"156,75","157,00","157,00","156,75","0,20K","-0,28%"
14.12.2020,"157,19","157,00","157,25","156,64","7,06K","0,03%"
11.12.2020,"157,14","157,27","157,34","157,06","1,13K","0,12%"
10.12.2020,"156,95","156,95","156,95","156,95","3,74K","0,30%"
09.12.2020,"156,48","156,48","156,48","156,48","0,21K","-0,23%"
08.12.2020,"156,84","156,66","156,66","156,61","1,49K","0,16%"
07.12.2020,"156,59","156,00","156,61","156,00","3,46K","0,38%"
04.12.2020,"156,00","156,69","156,70","155,77","1,47K","-0,42%"
03.12.2020,"156,66","156,48","156,83","156,27","3,77K","0,29%"
02.12.2020,"156,20","156,64","156,73","155,94","8,02K","-0,13%"
01.12.2020,"156,41","157,66","157,83","156,38","30,34K","-0,83%"
30.11.2020,"157,72","157,73","157,86","157,47","29,31K","-0,01%"
27.11.2020,"157,73","157,16","157,75","157,16","74,21K","0,36%"
25.11.2020,"157,17","157,16","157,53","156,86","353,98K","0,03%"
24.11.2020,"157,13","157,45","157,50","157,02","636,55K","-0,20%"
23.11.2020,"157,44","157,92","157,97","157,38","572,03K","-0,29%"
20.11.2020,"157,89","157,91","158,09","157,58","362,56K","0,21%"
19.11.2020,"157,56","157,33","157,89","157,31","376,47K","0,22%"
18.11.2020,"157,22","157,53","157,84","157,02","281,11K","-0,08%"
17.11.2020,"157,34","156,83","157,53","156,69","201,42K","0,32%"
16.11.2020,"156,84","156,97","157,31","156,48","210,82K","-0,12%"
13.11.2020,"157,03","157,22","157,48","156,92","166,39K","-0,08%"
12.11.2020,"157,16","156,08","157,25","156,06","281,39K","0,67%"
11.11.2020,"156,11","155,83","156,22","155,39","78,74K","0,25%"
10.11.2020,"155,72","156,38","156,61","155,69","321,85K","-0,11%"
09.11.2020,"155,89","157,75","158,20","155,66","440,04K","-1,25%"
06.11.2020,"157,86","158,72","158,83","157,61","248,39K","-0,40%"
05.11.2020,"158,50","158,72","159,36","158,31","264,52K","-0,10%"
04.11.2020,"158,66","156,64","158,80","156,08","495,55K","1,08%"
03.11.2020,"156,97","157,48","157,53","156,70","223,29K","-0,30%"
02.11.2020,"157,44","157,13","157,75","157,08","205,87K","0,10%"
30.10.2020,"157,28","157,78","158,05","157,03","356,91K","-0,22%"
29.10.2020,"157,63","158,50","158,59","157,55","283,13K","-0,50%"
28.10.2020,"158,42","158,59","158,95","158,38","250,59K","-0,03%"
27.10.2020,"158,47","158,08","158,59","158,03","162,56K","0,22%"
26.10.2020,"158,13","157,53","158,31","157,53","196,27K","0,36%"
23.10.2020,"157,56","157,30","157,70","157,11","199,84K","0,07%"
22.10.2020,"157,45","157,78","158,09","157,13","206,17K","-0,31%"
21.10.2020,"157,94","158,30","158,34","157,64","233,97K","-0,16%"
20.10.2020,"158,19","158,58","158,67","158,13","194,16K","-0,33%"
19.10.2020,"158,72","158,92","158,92","158,42","171,67K","-0,16%"
16.10.2020,"158,97","159,09","159,33","158,78","173,29K","-0,12%"
15.10.2020,"159,16","159,22","159,73","159,03","191,46K","-0,07%"
14.10.2020,"159,27","159,20","159,47","159,09","136,12K","0,04%"
13.10.2020,"159,20","158,67","159,25","158,61","148,02K","0,35%"
12.10.2020,"158,64","158,50","158,72","158,47","38,70K","0,10%"
09.10.2020,"158,48","158,38","158,73","158,16","166,73K","-0,10%"
08.10.2020,"158,64","158,31","158,67","158,31","159,94K","0,19%"
07.10.2020,"158,34","159,08","159,13","158,16","247,10K","-0,39%"
06.10.2020,"158,97","158,41","159,22","158,23","265,40K","0,17%"
05.10.2020,"158,70","159,56","159,63","158,38","220,13K","-0,62%"
02.10.2020,"159,69","159,88","160,33","159,53","225,82K","-0,15%"
01.10.2020,"159,92","159,78","160,06","159,28","237,97K","0,00%"
30.09.2020,"159,92","160,34","160,44","159,48","287,16K","-0,29%"
29.09.2020,"160,39","160,25","160,45","160,13","151,05K","0,16%"
28.09.2020,"160,14","160,20","160,23","159,95","136,13K","-0,03%"
25.09.2020,"160,19","160,03","160,31","159,92","127,45K","0,05%"
24.09.2020,"160,11","159,97","160,16","159,86","153,17K","0,11%"
23.09.2020,"159,94","159,98","160,22","159,69","151,34K","-0,12%"
22.09.2020,"160,13","160,03","160,16","159,88","129,06K","1,40%"
21.09.2020,"157,92","157,92","157,92","157,92","2,92K","0,25%"
18.09.2020,"157,53","157,83","157,89","157,48","2,08K","-0,10%"
17.09.2020,"157,69","157,72","158,00","157,56","7,63K","0,07%"
16.09.2020,"157,58","157,81","158,02","157,48","17,32K","-0,09%"
15.09.2020,"157,72","157,81","157,81","157,61","7,57K","-0,08%"
14.09.2020,"157,84","157,92","157,97","157,72","17,20K","0,00%"
11.09.2020,"157,84","157,48","157,89","157,48","59,29K","0,14%"
10.09.2020,"157,63","157,41","157,69","157,11","10,80K","0,18%"
09.09.2020,"157,34","157,91","157,91","157,28","13,21K","-0,18%"
08.09.2020,"157,63","157,16","157,86","157,16","4,43K","0,38%"
04.09.2020,"157,03","158,30","158,30","157,02","12,25K","-0,86%"
03.09.2020,"158,39","158,06","158,61","157,77","16,88K","0,29%"
02.09.2020,"157,94","157,59","158,06","157,34","26,62K","0,20%"
01.09.2020,"157,63","157,19","157,66","156,81","16,29K","0,20%"
31.08.2020,"157,31","156,98","157,38","156,58","30,59K","0,30%"
28.08.2020,"156,84","156,45","157,06","156,00","148,37K","0,17%"
27.08.2020,"156,58","157,41","157,97","156,45","457,36K","-0,54%"
26.08.2020,"157,42","157,47","157,47","156,94","586,89K","-0,05%"
25.08.2020,"157,50","157,84","157,91","157,02","623,76K","-0,32%"
24.08.2020,"158,00","158,16","158,33","157,84","281,05K","-0,04%"
21.08.2020,"158,06","157,89","158,31","157,75","173,80K","0,03%"
20.08.2020,"158,02","157,45","158,11","157,45","217,36K","0,29%"
19.08.2020,"157,56","157,64","157,95","157,38","205,99K","-0,05%"
18.08.2020,"157,64","157,36","157,78","157,34","139,06K","0,13%"
17.08.2020,"157,44","157,11","157,69","157,03","135,78K","0,23%"
14.08.2020,"157,08","156,86","157,33","156,84","165,43K","0,08%"
13.08.2020,"156,95","157,30","157,86","156,81","233,87K","-0,28%"
12.08.2020,"157,39","157,77","158,00","157,09","259,22K","-0,10%"
11.08.2020,"157,55","158,70","158,80","157,52","277,90K","-0,74%"
10.08.2020,"158,72","158,83","159,14","158,63","119,22K","-0,10%"
07.08.2020,"158,88","159,27","159,53","158,80","150,20K","-0,24%"
06.08.2020,"159,25","159,02","159,73","158,97","148,24K","0,05%"
05.08.2020,"159,17","159,66","159,70","158,98","180,67K","-0,25%"
04.08.2020,"159,58","159,02","159,70","158,88","132,03K","0,43%"
03.08.2020,"158,89","159,36","159,38","158,75","145,41K","-0,23%"
31.07.2020,"159,25","159,08","159,47","158,84","220,96K","0,05%"
30.07.2020,"159,17","158,67","159,22","158,64","121,99K","0,34%"
29.07.2020,"158,63","158,61","158,83","158,39","116,87K","0,02%"
28.07.2020,"158,59","158,06","158,67","157,78","135,13K","0,26%"
27.07.2020,"158,19","158,41","158,73","158,05","136,39K","-0,16%"
24.07.2020,"158,44","158,59","158,91","158,33","124,42K","-0,07%"
23.07.2020,"158,55","158,31","158,67","158,30","134,29K","0,12%"
22.07.2020,"158,36","158,27","158,55","158,19","115,22K","0,10%"
21.07.2020,"158,20","158,16","158,38","157,92","96,87K","0,13%"
20.07.2020,"158,00","157,88","158,27","157,84","82,99K","0,07%"
17.07.2020,"157,89","158,05","158,31","157,83","99,06K","-0,15%"
16.07.2020,"158,13","157,81","158,28","157,75","98,26K","0,16%"
15.07.2020,"157,88","157,77","158,03","157,44","128,97K","-0,13%"
14.07.2020,"158,08","157,94","158,28","157,77","127,23K","0,24%"
13.07.2020,"157,70","157,63","158,00","157,34","112,36K","-0,04%"
10.07.2020,"157,77","158,05","158,69","157,58","149,43K","-0,28%"
09.07.2020,"158,20","157,34","158,27","157,31","174,28K","0,44%"
08.07.2020,"157,52","157,64","157,69","157,20","154,52K","-0,03%"
07.07.2020,"157,56","157,09","157,78","156,98","124,00K","0,31%"
06.07.2020,"157,08","157,41","157,41","156,61","111,66K","-0,11%"
02.07.2020,"157,25","157,17","157,42","156,66","115,91K","0,10%"
01.07.2020,"157,09","157,42","157,44","156,78","170,41K","-0,25%"
30.06.2020,"157,48","157,86","157,95","157,31","191,40K","-0,16%"
29.06.2020,"157,73","157,77","157,92","157,44","123,06K","0,03%"
26.06.2020,"157,69","156,98","157,75","156,98","109,30K","0,35%"
25.06.2020,"157,14","157,09","157,39","156,95","140,54K","0,08%"
24.06.2020,"157,02","156,63","157,11","156,36","135,97K","0,22%"
23.06.2020,"156,67","156,63","157,08","156,31","141,86K","-0,04%"
22.06.2020,"156,73","157,02","157,16","156,63","98,84K","-0,04%"
19.06.2020,"156,80","156,42","156,84","156,31","0,40K","0,00%"
18.06.2020,"156,80","156,47","156,75","156,47","4,21K","0,37%"
17.06.2020,"156,22","155,80","156,25","155,80","2,53K","0,25%"
16.06.2020,"155,83","155,63","156,19","155,61","3,50K","-0,47%"
15.06.2020,"156,56","157,08","157,13","156,47","0,48K","-0,02%"
12.06.2020,"156,59","156,91","156,91","156,52","0,03K","-0,41%"
11.06.2020,"157,23","156,38","157,20","156,38","7,15K","0,79%"
10.06.2020,"156,00","155,14","156,08","155,14","7,54K","0,80%"
09.06.2020,"154,77","154,30","155,14","154,30","4,32K","0,44%"
08.06.2020,"154,09","153,88","154,38","153,72","3,41K","0,18%"
05.06.2020,"153,81","154,98","155,14","153,05","6,36K","-0,70%"
04.06.2020,"154,89","155,86","155,97","154,78","3,31K","-0,50%"
03.06.2020,"155,67","156,70","156,80","155,55","8,44K","-0,72%"
02.06.2020,"156,80","157,09","157,16","156,67","18,93K","-0,14%"
01.06.2020,"157,02","157,36","157,36","156,64","13,00K","-0,10%"
29.05.2020,"157,17","156,67","157,25","156,59","48,54K","0,50%"
28.05.2020,"156,39","156,59","156,86","156,27","205,77K","-0,21%"
27.05.2020,"156,72","156,39","157,00","155,97","579,11K","0,22%"
26.05.2020,"156,38","156,83","156,97","156,20","627,07K","-0,29%"
